'sample #','II','AVF','ABP','PAP'
97,-1032,-1200,-30,-60
98,-1032,-1200,-30,-60
99,-1032,-1200,-30,-60
100,-1032,-1200,-30,-60
101,-3096,-3600,-90,-180
102,-3096,-3600,-90,-180
103,-3096,-3600,-90,-180
104,-3096,-3600,-90,-180
105,-1032,-1200,-30,-60
106,-1032,-1200,-30,-60
107,-1032,-1200,-30,-60
108,-1032,-1200,-30,-60
109,-3096,-3600,-90,-180
110,-3096,-3600,-90,-180
111,-3096,-3600,-90,-180
112,-3096,-3600,-90,-180
113,-1032,-1200,-30,-60
114,-1032,-1200,-30,-60
115,-1032,-1200,-30,-60
116,-1032,-1200,-30,-60
117,-3096,-3600,-90,-180
118,-3096,-3600,-90,-180
119,-3096,-3600,-90,-180
120,-3096,-3600,-90,-180
121,-1032,-1200,-30,-60
122,-1032,-1200,-30,-60
123,-1032,-1200,-30,-60
124,-1032,-1200,-30,-60
125,-3096,-3600,-90,-180
126,-3096,-3600,-90,-180
127,-3096,-3600,-90,-180
128,-3096,-3600,-90,-180
129,-1032,-1200,-30,-60
130,-1032,-1200,-30,-60
131,-1032,-1200,-30,-60
132,-1032,-1200,-30,-60
133,-3096,-3600,-90,-180
134,-3096,-3600,-90,-180
135,-3096,-3600,-90,-180
136,-3096,-3600,-90,-180
137,-1032,-1200,-30,-60
138,-1032,-1200,-30,-60
139,-1032,-1200,-30,-60
140,-1032,-1200,-30,-60
141,-3096,-3600,-90,-180
142,-3096,-3600,-90,-180
143,-3096,-3600,-90,-180
144,-3096,-3600,-90,-180
145,-1032,-1200,-30,-60
146,-1032,-1200,-30,-60
147,-1032,-1200,-30,-60
148,-1032,-1200,-30,-60
149,-3096,-3600,-90,-180
150,-3096,-3600,-90,-180
151,-3096,-3600,-90,-180
152,-3096,-3600,-90,-180
153,-1032,-1200,-30,-60
154,-1032,-1200,-30,-60
155,-1032,-1200,-30,-60
156,-1032,-1200,-30,-60
157,-3096,-3600,-90,-180
158,-3096,-3600,-90,-180
159,-3096,-3600,-90,-180
160,-3096,-3600,-90,-180
161,-1032,-1200,-30,-60
162,-1032,-1200,-30,-60
163,-1032,-1200,-30,-60
164,-1032,-1200,-30,-60
165,-3096,-3600,-90,-180
166,-3096,-3600,-90,-180
167,-3096,-3600,-90,-180
168,-3096,-3600,-90,-180
169,-1032,-1200,-30,-60
170,-1032,-1200,-30,-60
171,-1032,-1200,-30,-60
172,-1032,-1200,-30,-60
173,-3096,-3600,-90,-180
174,-3096,-3600,-90,-180
175,-3096,-3600,-90,-180
176,-3096,-3600,-90,-180
177,-1032,-1200,-30,-60
178,-1032,-1200,-30,-60
179,-1032,-1200,-30,-60
180,-1032,-1200,-30,-60
181,-3096,-3600,-90,-180
182,-3096,-3600,-90,-180
183,-3096,-3600,-90,-180
184,-3096,-3600,-90,-180
185,-1032,-1200,-30,-60
186,-1032,-1200,-30,-60
187,-1032,-1200,-30,-60
188,-1032,-1200,-30,-60
189,-3096,-3600,-90,-180
190,-3096,-3600,-90,-180
191,-3096,-3600,-90,-180
192,-3096,-3600,-90,-180
193,-1032,-1200,-30,-60
194,-1032,-1200,-30,-60
195,-1032,-1200,-30,-60
196,-1032,-1200,-30,-60
197,-3096,-3600,-90,-180
198,-3096,-3600,-90,-180
199,-3096,-3600,-90,-180
200,-3096,-3600,-90,-180
201,-1032,-1200,-30,-60
202,-1032,-1200,-30,-60
203,-1032,-1200,-30,-60
204,-1032,-1200,-30,-60
205,-3096,-3600,-90,-180
206,-3096,-3600,-90,-180
207,-3096,-3600,-90,-180
208,-3096,-3600,-90,-180
209,-1032,-1200,-30,-60
210,-1032,-1200,-30,-60
211,-1032,-1200,-30,-60
212,-1032,-1200,-30,-60
213,-3096,-3600,-90,-180
214,-3096,-3600,-90,-180
215,-3096,-3600,-90,-180
216,-3096,-3600,-90,-180
217,-1032,-1200,-30,-60
218,-1032,-1200,-30,-60
219,-1032,-1200,-30,-60
220,-1032,-1200,-30,-60
221,-3096,-3600,-90,-180
222,-3096,-3600,-90,-180
223,-3096,-3600,-90,-180
224,-3096,-3600,-90,-180
225,-1032,-1200,-30,-60
226,-1032,-1200,-30,-60
227,-1032,-1200,-30,-60
228,-1032,-1200,-30,-60
229,-3096,-3600,-90,-180
230,-3096,-3600,-90,-180
231,-3096,-3600,-90,-180
232,-3096,-3600,-90,-180
233,-1032,-1200,-30,-60
234,-1032,-1200,-30,-60
235,-1032,-1200,-30,-60
236,-1032,-1200,-30,-60
237,-3096,-3600,-90,-180
238,-3096,-3600,-90,-180
239,-3096,-3600,-90,-180
240,-3096,-3600,-90,-180
241,-1032,-1200,-30,-60
242,-1032,-1200,-30,-60
243,-1032,-1200,-30,-60
244,-1032,-1200,-30,-60
245,-3096,-3600,-90,-180
246,-3096,-3600,-90,-180
247,-3096,-3600,-90,-180
248,-3096,-3600,-90,-180
249,-1032,-1200,-30,-60
250,-1032,-1200,-30,-60
251,-1032,-1200,-30,-60
252,-1032,-1200,-30,-60
253,-3096,-3600,-90,-180
254,-3096,-3600,-90,-180
255,-3096,-3600,-90,-180
256,-3096,-3600,-90,-180
257,-1032,-1200,-30,-60
258,-1032,-1200,-30,-60
259,-1032,-1200,-30,-60
260,-1032,-1200,-30,-60
261,-3096,-3600,-90,-180
262,-3096,-3600,-90,-180
263,-3096,-3600,-90,-180
264,-3096,-3600,-90,-180
265,-1032,-1200,-30,-60
266,-1032,-1200,-30,-60
267,-1032,-1200,-30,-60
268,-1032,-1200,-30,-60
269,-3096,-3600,-90,-180
270,-3096,-3600,-90,-180
271,-3096,-3600,-90,-180
272,-3096,-3600,-90,-180
273,-1032,-1200,-30,-60
274,-1032,-1200,-30,-60
275,-1032,-1200,-30,-60
276,-1032,-1200,-30,-60
277,-3096,-3600,-90,-180
278,-3096,-3600,-90,-180
279,-3096,-3600,-90,-180
280,-3096,-3600,-90,-180
281,-1032,-1200,-30,-60
282,-1032,-1200,-30,-60
283,-1032,-1200,-30,-60
284,-1032,-1200,-30,-60
285,-3096,-3600,-90,-180
286,-3096,-3600,-90,-180
287,-3096,-3600,-90,-180
288,-3096,-3600,-90,-180
289,-1032,-1200,-30,-60
290,-1032,-1200,-30,-60
291,-1032,-1200,-30,-60
292,-1032,-1200,-30,-60
293,-3096,-3600,-90,-180
294,-3096,-3600,-90,-180
295,-3096,-3600,-90,-180
296,-3096,-3600,-90,-180
297,-1032,-1200,-30,-60
298,-1032,-1200,-30,-60
299,-1032,-1200,-30,-60
300,-1032,-1200,-30,-60
301,-3096,-3600,-90,-180
302,-3096,-3600,-90,-180
303,-3096,-3600,-90,-180
304,-3096,-3600,-90,-180
305,-1032,-1200,-30,-60
306,-1032,-1200,-30,-60
307,-1032,-1200,-30,-60
308,-1032,-1200,-30,-60
309,-3096,-3600,-90,-180
310,-3096,-3600,-90,-180
311,-3096,-3600,-90,-180
312,-3096,-3600,-90,-180
313,-1032,-1200,-30,-60
314,-1032,-1200,-30,-60
315,-1032,-1200,-30,-60
316,-1032,-1200,-30,-60
317,-3096,-3600,-90,-180
318,-3096,-3600,-90,-180
319,-3096,-3600,-90,-180
320,-3096,-3600,-90,-180
321,-1032,-1200,-30,-60
322,-1032,-1200,-30,-60
323,-1032,-1200,-30,-60
324,-1032,-1200,-30,-60
325,-3096,-3600,-90,-180
326,-3096,-3600,-90,-180
327,-3096,-3600,-90,-180
328,-3096,-3600,-90,-180
329,-1032,-1200,-30,-60
330,-1032,-1200,-30,-60
331,-1032,-1200,-30,-60
332,-1032,-1200,-30,-60
333,-3096,-3600,-90,-180
334,-3096,-3600,-90,-180
335,-3096,-3600,-90,-180
336,-3096,-3600,-90,-180
337,-1032,-1200,-30,-60
338,-1032,-1200,-30,-60
339,-1032,-1200,-30,-60
340,-1032,-1200,-30,-60
341,-3096,-3600,-90,-180
342,-3096,-3600,-90,-180
343,-3096,-3600,-90,-180
344,-3096,-3600,-90,-180
345,-1032,-1200,-30,-60
346,-1032,-1200,-30,-60
347,-1032,-1200,-30,-60
348,-1032,-1200,-30,-60
349,-3096,-3600,-90,-180
350,-3096,-3600,-90,-180
351,-3096,-3600,-90,-180
352,-3096,-3600,-90,-180
353,-1032,-1200,-30,-60
354,-1032,-1200,-30,-60
355,-1032,-1200,-30,-60
356,-1032,-1200,-30,-60
357,-3096,-3600,-90,-180
358,-3096,-3600,-90,-180
359,-3096,-3600,-90,-180
360,-3096,-3600,-90,-180
361,-1032,-1200,-30,-60
362,-1032,-1200,-30,-60
363,-1032,-1200,-30,-60
364,-1032,-1200,-30,-60
365,-3096,-3600,-90,-180
366,-3096,-3600,-90,-180
367,-3096,-3600,-90,-180
368,-3096,-3600,-90,-180
369,-1032,-1200,-30,-60
370,-1032,-1200,-30,-60
371,-1032,-1200,-30,-60
372,-1032,-1200,-30,-60
373,-3096,-3600,-90,-180
374,-3096,-3600,-90,-180
375,-3096,-3600,-90,-180
376,-3096,-3600,-90,-180
377,-1032,-1200,-30,-60
378,-1032,-1200,-30,-60
379,-1032,-1200,-30,-60
380,-1032,-1200,-30,-60
381,-3096,-3600,-90,-180
382,-3096,-3600,-90,-180
383,-3096,-3600,-90,-180
384,-3096,-3600,-90,-180
385,-1032,-1200,-30,-60
386,-1032,-1200,-30,-60
387,-1032,-1200,-30,-60
388,-1032,-1200,-30,-60
389,-3096,-3600,-90,-180
390,-3096,-3600,-90,-180
391,-3096,-3600,-90,-180
392,-3096,-3600,-90,-180
393,-1032,-1200,-30,-60
394,-1032,-1200,-30,-60
395,-1032,-1200,-30,-60
396,-1032,-1200,-30,-60
397,-3096,-3600,-90,-180
398,-3096,-3600,-90,-180
399,-3096,-3600,-90,-180
400,-3096,-3600,-90,-180
401,-1032,-1200,-30,-60
402,-1032,-1200,-30,-60
403,-1032,-1200,-30,-60
404,-1032,-1200,-30,-60
405,-3096,-3600,-90,-180
406,-3096,-3600,-90,-180
407,-3096,-3600,-90,-180
408,-3096,-3600,-90,-180
409,-1032,-1200,-30,-60
410,-1032,-1200,-30,-60
411,-1032,-1200,-30,-60
412,-1032,-1200,-30,-60
413,-3096,-3600,-90,-180
414,-3096,-3600,-90,-180
415,-3096,-3600,-90,-180
416,-3096,-3600,-90,-180
417,-1032,-1200,-30,-60
418,-1032,-1200,-30,-60
419,-1032,-1200,-30,-60
420,-1032,-1200,-30,-60
421,-3096,-3600,-90,-180
422,-3096,-3600,-90,-180
423,-3096,-3600,-90,-180
424,-3096,-3600,-90,-180
425,-1032,-1200,-30,-60
426,-1032,-1200,-30,-60
427,-1032,-1200,-30,-60
428,-1032,-1200,-30,-60
429,-3096,-3600,-90,-180
430,-3096,-3600,-90,-180
431,-3096,-3600,-90,-180
432,-3096,-3600,-90,-180
433,-1032,-1200,-30,-60
434,-1032,-1200,-30,-60
435,-1032,-1200,-30,-60
436,-1032,-1200,-30,-60
437,-3096,-3600,-90,-180
438,-3096,-3600,-90,-180
439,-3096,-3600,-90,-180
440,-3096,-3600,-90,-180
441,-1032,-1200,-30,-60
442,-1032,-1200,-30,-60
443,-1032,-1200,-30,-60
444,-1032,-1200,-30,-60
445,-3096,-3600,-90,-180
446,-3096,-3600,-90,-180
447,-3096,-3600,-90,-180
448,-3096,-3600,-90,-180
449,-1032,-1200,-30,-60
450,-1032,-1200,-30,-60
451,-1032,-1200,-30,-60
452,-1032,-1200,-30,-60
453,-3096,-3600,-90,-180
454,-3096,-3600,-90,-180
455,-3096,-3600,-90,-180
456,-3096,-3600,-90,-180
457,-1032,-1200,-30,-60
458,-1032,-1200,-30,-60
459,-1032,-1200,-30,-60
460,-1032,-1200,-30,-60
461,-3096,-3600,-90,-180
462,-3096,-3600,-90,-180
463,-3096,-3600,-90,-180
464,-3096,-3600,-90,-180
465,-1032,-1200,-30,-60
466,-1032,-1200,-30,-60
467,-1032,-1200,-30,-60
468,1032,1200,30,60
469,-1032,-1200,-30,-60
470,-1032,-1200,-30,-60
471,-1032,-1200,-30,-60
472,-1032,-1200,-30,-60
473,1032,1200,30,60
474,1032,1200,30,60
475,1032,1200,30,60
476,1032,1200,30,60
477,-1032,-1200,-30,-60
478,-1032,-1200,-30,-60
479,-1032,-1200,-30,-60
480,-1032,-1200,-30,-60
481,1032,1200,30,60
482,1032,1200,30,60
483,1032,1200,30,60
484,1032,1200,30,60
485,-1032,-1200,-30,-60
486,-1032,-1200,-30,-60
487,-1032,-1200,-30,-60
488,-1032,-1200,-30,-60
489,1032,1200,30,60
490,1032,1200,30,60
491,1032,1200,30,60
492,1032,1200,30,60
493,-1032,-1200,-30,-60
494,-1032,-1200,-30,-60
495,-1032,-1200,-30,-60
496,-1032,-1200,-30,-60
497,1032,1200,30,60
498,1032,1200,30,60
499,1032,1200,30,60
500,1032,1200,30,60
501,-1032,-1200,-30,-60
502,-1032,-1200,-30,-60
503,-1032,-1200,-30,-60
504,-1032,-1200,-30,-60
505,1032,1200,30,60
506,1032,1200,30,60
507,1032,1200,30,60
508,1032,1200,30,60
509,-1032,-1200,-30,-60
510,-1032,-1200,-30,-60
511,-1032,-1200,-30,-60
512,-1032,-1200,-30,-60
513,1032,1200,30,60
514,1032,1200,30,60
515,1032,1200,30,60
516,1032,1200,30,60
517,-1032,-1200,-30,-60
518,-1032,-1200,-30,-60
519,-1032,-1200,-30,-60
520,-1032,-1200,-30,-60
521,1032,1200,30,60
522,1032,1200,30,60
523,1032,1200,30,60
524,1032,1200,30,60
525,-1032,-1200,-30,-60
526,-1032,-1200,-30,-60
527,-1032,-1200,-30,-60
528,-1032,-1200,-30,-60
529,1032,1200,30,60
530,1032,1200,30,60
531,1032,1200,30,60
532,1032,1200,30,60
533,-1032,-1200,-30,-60
534,-1032,-1200,-30,-60
535,-1032,-1200,-30,-60
536,-1032,-1200,-30,-60
537,1032,1200,30,60
538,1032,1200,30,60
539,1032,1200,30,60
540,1032,1200,30,60
541,-1032,-1200,-30,-60
542,-1032,-1200,-30,-60
543,-1032,-1200,-30,-60
544,-1032,-1200,-30,-60
545,1032,1200,30,60
546,1032,1200,30,60
547,1032,1200,30,60
548,1032,1200,30,60
549,-1032,-1200,-30,-60
550,-1032,-1200,-30,-60
551,-1032,-1200,-30,-60
552,-1032,-1200,-30,-60
553,1032,1200,30,60
554,1032,1200,30,60
555,1032,1200,30,60
556,1032,1200,30,60
557,-1032,-1200,-30,-60
558,-1032,-1200,-30,-60
559,-1032,-1200,-30,-60
560,-1032,-1200,-30,-60
561,1032,1200,30,60
562,1032,1200,30,60
563,1032,1200,30,60
564,1032,1200,30,60
565,-1032,-1200,-30,-60
566,-1032,-1200,-30,-60
567,-1032,-1200,-30,-60
568,-1032,-1200,-30,-60
569,1032,1200,30,60
570,1032,1200,30,60
571,1032,1200,30,60
572,1032,1200,30,60
573,-1032,-1200,-30,-60
574,-1032,-1200,-30,-60
575,-1032,-1200,-30,-60
576,-1032,-1200,-30,-60
577,1032,1200,30,60
578,1032,1200,30,60
579,1032,1200,30,60
580,1032,1200,30,60
581,-1032,-1200,-30,-60
582,-1032,-1200,-30,-60
583,-1032,-1200,-30,-60
584,-1032,-1200,-30,-60
585,1032,1200,30,60
586,1032,1200,30,60
587,1032,1200,30,60
588,1032,1200,30,60
589,-1032,-1200,-30,-60
590,-1032,-1200,-30,-60
591,-1032,-1200,-30,-60
592,-1032,-1200,-30,-60
593,1032,1200,30,60
594,1032,1200,30,60
595,1032,1200,30,60
596,1032,1200,30,60
597,-1032,-1200,-30,-60
598,-1032,-1200,-30,-60
599,-1032,-1200,-30,-60
600,-1032,-1200,-30,-60
601,1032,1200,30,60
602,1032,1200,30,60
603,1032,1200,30,60
604,1032,1200,30,60
605,-1032,-1200,-30,-60
606,-1032,-1200,-30,-60
607,-1032,-1200,-30,-60
608,-1032,-1200,-30,-60
609,1032,1200,30,60
610,1032,1200,30,60
611,1032,1200,30,60
612,1032,1200,30,60
613,-1032,-1200,-30,-60
614,-1032,-1200,-30,-60
615,-1032,-1200,-30,-60
616,-1032,-1200,-30,-60
617,1032,1200,30,60
618,1032,1200,30,60
619,1032,1200,30,60
620,1032,1200,30,60
621,-1032,-1200,-30,-60
622,-1032,-1200,-30,-60
623,-1032,-1200,-30,-60
624,-1032,-1200,-30,-60
625,1032,1200,30,60
626,1032,1200,30,60
627,1032,1200,30,60
628,1032,1200,30,60
629,-1032,-1200,-30,-60
630,-1032,-1200,-30,-60
631,-1032,-1200,-30,-60
632,-1032,-1200,-30,-60
633,1032,1200,30,60
634,1032,1200,30,60
635,1032,1200,30,60
636,1032,1200,30,60
637,-1032,-1200,-30,-60
638,-1032,-1200,-30,-60
639,-1032,-1200,-30,-60
640,-1032,-1200,-30,-60
641,1032,1200,30,60
642,1032,1200,30,60
643,1032,1200,30,60
644,1032,1200,30,60
645,-1032,-1200,-30,-60
646,-1032,-1200,-30,-60
647,-1032,-1200,-30,-60
648,-1032,-1200,-30,-60
649,1032,1200,30,60
650,1032,1200,30,60
651,1032,1200,30,60
652,1032,1200,30,60
653,-1032,-1200,-30,-60
654,-1032,-1200,-30,-60
655,-1032,-1200,-30,-60
656,-1032,-1200,-30,-60
657,1032,1200,30,60
658,1032,1200,30,60
659,1032,1200,30,60
660,1032,1200,30,60
661,-1032,-1200,-30,-60
662,-1032,-1200,-30,-60
663,-1032,-1200,-30,-60
664,-1032,-1200,-30,-60
665,1032,1200,30,60
666,1032,1200,30,60
667,1032,1200,30,60
668,1032,1200,30,60
669,-1032,-1200,-30,-60
670,-1032,-1200,-30,-60
671,-1032,-1200,-30,-60
672,-1032,-1200,-30,-60
673,1032,1200,30,60
674,1032,1200,30,60
675,1032,1200,30,60
676,1032,1200,30,60
677,-1032,-1200,-30,-60
678,-1032,-1200,-30,-60
679,-1032,-1200,-30,-60
680,-1032,-1200,-30,-60
681,1032,1200,30,60
682,1032,1200,30,60
683,1032,1200,30,60
684,1032,1200,30,60
685,-1032,-1200,-30,-60
686,-1032,-1200,-30,-60
687,-1032,-1200,-30,-60
688,-1032,-1200,-30,-60
689,1032,1200,30,60
690,1032,1200,30,60
691,1032,1200,30,60
692,1032,1200,30,60
693,-1032,-1200,-30,-60
694,-1032,-1200,-30,-60
695,-1032,-1200,-30,-60
696,-1032,-1200,-30,-60
697,1032,1200,30,60
698,1032,1200,30,60
699,1032,1200,30,60
700,1032,1200,30,60
701,-1032,-1200,-30,-60
702,-1032,-1200,-30,-60
703,-1032,-1200,-30,-60
704,-1032,-1200,-30,-60
705,1032,1200,30,60
706,1032,1200,30,60
707,1032,1200,30,60
708,1032,1200,30,60
709,-1032,-1200,-30,-60
710,-1032,-1200,-30,-60
711,-1032,-1200,-30,-60
712,-1032,-1200,-30,-60
713,1032,1200,30,60
714,1032,1200,30,60
715,1032,1200,30,60
716,1032,1200,30,60
717,-1032,-1200,-30,-60
718,-1032,-1200,-30,-60
719,-1032,-1200,-30,-60
720,-1032,-1200,-30,-60
721,1032,1200,30,60
722,1032,1200,30,60
723,1032,1200,30,60
724,1032,1200,30,60
725,-1032,-1200,-30,-60
726,-1032,-1200,-30,-60
727,-1032,-1200,-30,-60
728,-1032,-1200,-30,-60
729,1032,1200,30,60
730,1032,1200,30,60
731,1032,1200,30,60
732,1032,1200,30,60
733,-1032,-1200,-30,-60
734,-1032,-1200,-30,-60
735,-1032,-1200,-30,-60
736,-1032,-1200,-30,-60
737,1032,1200,30,60
738,1032,1200,30,60
739,1032,1200,30,60
740,1032,1200,30,60
741,-1032,-1200,-30,-60
742,-1032,-1200,-30,-60
743,-1032,-1200,-30,-60
744,-1032,-1200,-30,-60
745,1032,1200,30,60
746,1032,1200,30,60
747,1032,1200,30,60
748,1032,1200,30,60
749,-1032,-1200,-30,-60
750,-1032,-1200,-30,-60
751,-1032,-1200,-30,-60
752,-1032,-1200,-30,-60
753,1032,1200,30,60
754,1032,1200,30,60
755,1032,1200,30,60
756,1032,1200,30,60
757,-1032,-1200,-30,-60
758,-1032,-1200,-30,-60
759,-1032,-1200,-30,-60
760,-1032,-1200,-30,-60
761,1032,1200,30,60
762,1032,1200,30,60
763,1032,1200,30,60
764,1032,1200,30,60
765,-1032,-1200,-30,-60
766,-1032,-1200,-30,-60
767,-1032,-1200,-30,-60
768,-1032,-1200,-30,-60
769,1032,1200,30,60
770,1032,1200,30,60
771,1032,1200,30,60
772,1032,1200,30,60
773,-1032,-1200,-30,-60
774,-1032,-1200,-30,-60
775,-1032,-1200,-30,-60
776,-1032,-1200,-30,-60
777,1032,1200,30,60
778,1032,1200,30,60
779,1032,1200,30,60
780,1032,1200,30,60
781,-1032,-1200,-30,-60
782,-1032,-1200,-30,-60
783,-1032,-1200,-30,-60
784,-1032,-1200,-30,-60
785,1032,1200,30,60
786,1032,1200,30,60
787,1032,1200,30,60
788,1032,1200,30,60
789,-1032,-1200,-30,-60
790,-1032,-1200,-30,-60
791,-1032,-1200,-30,-60
792,-1032,-1200,-30,-60
793,1032,1200,30,60
794,1032,1200,30,60
795,1032,1200,30,60
796,1032,1200,30,60
797,-1032,-1200,-30,-60
798,-1032,-1200,-30,-60
799,-1032,-1200,-30,-60
800,-1032,-1200,-30,-60
801,1032,1200,30,60
802,1032,1200,30,60
803,1032,1200,30,60
804,1032,1200,30,60
805,-1032,-1200,-30,-60
806,-1032,-1200,-30,-60
807,-1032,-1200,-30,-60
808,-1032,-1200,-30,-60
809,1032,1200,30,60
810,1032,1200,30,60
811,1032,1200,30,60
812,1032,1200,30,60
813,-1032,-1200,-30,-60
814,-1032,-1200,-30,-60
815,-1032,-1200,-30,-60
816,-1032,-1200,-30,-60
817,1032,1200,30,60
818,1032,1200,30,60
819,1032,1200,30,60
820,1032,1200,30,60
821,-1032,-1200,-30,-60
822,-1032,-1200,-30,-60
823,-1032,-1200,-30,-60
824,-1032,-1200,-30,-60
825,1032,1200,30,60
826,1032,1200,30,60
827,1032,1200,30,60
828,1032,1200,30,60
829,-1032,-1200,-30,-60
830,-1032,-1200,-30,-60
831,-1032,-1200,-30,-60
832,-1032,-1200,-30,-60
833,1032,1200,30,60
834,1032,1200,30,60
835,1032,1200,30,60
836,1032,1200,30,60
837,-1032,-1200,-30,-60
838,-1032,-1200,-30,-60
839,-1032,-1200,-30,-60
840,-1032,-1200,-30,-60
841,1032,1200,30,60
842,1032,1200,30,60
843,-1032,-1200,-30,-60
844,-1032,-1200,-30,-60
845,-3096,-3600,-90,-180
846,-3096,-3600,-90,-180
847,-3096,-3600,-90,-180
848,-3096,-3600,-90,-180
849,-1032,-1200,-30,-60
850,-1032,-1200,-30,-60
851,-1032,-1200,-30,-60
852,-1032,-1200,-30,-60
853,-3096,-3600,-90,-180
854,-3096,-3600,-90,-180
855,-3096,-3600,-90,-180
856,-3096,-3600,-90,-180
857,-1032,-1200,-30,-60
858,-1032,-1200,-30,-60
859,-1032,-1200,-30,-60
860,-1032,-1200,-30,-60
861,-3096,-3600,-90,-180
862,-3096,-3600,-90,-180
863,-3096,-3600,-90,-180
864,-3096,-3600,-90,-180
865,-1032,-1200,-30,-60
866,-1032,-1200,-30,-60
867,-1032,-1200,-30,-60
868,-1032,-1200,-30,-60
869,-3096,-3600,-90,-180
870,-3096,-3600,-90,-180
871,-3096,-3600,-90,-180
872,-3096,-3600,-90,-180
873,-1032,-1200,-30,-60
874,-1032,-1200,-30,-60
875,-1032,-1200,-30,-60
876,-1032,-1200,-30,-60
877,-3096,-3600,-90,-180
878,-3096,-3600,-90,-180
879,-3096,-3600,-90,-180
880,-3096,-3600,-90,-180
881,-1032,-1200,-30,-60
882,-1032,-1200,-30,-60
883,-1032,-1200,-30,-60
884,-1032,-1200,-30,-60
885,-3096,-3600,-90,-180
886,-3096,-3600,-90,-180
887,-3096,-3600,-90,-180
888,-3096,-3600,-90,-180
889,-1032,-1200,-30,-60
890,-1032,-1200,-30,-60
891,-1032,-1200,-30,-60
892,-1032,-1200,-30,-60
893,-3096,-3600,-90,-180
894,-3096,-3600,-90,-180
895,-3096,-3600,-90,-180
896,-3096,-3600,-90,-180
897,-1032,-1200,-30,-60
898,-1032,-1200,-30,-60
899,-1032,-1200,-30,-60
900,-1032,-1200,-30,-60
901,-3096,-3600,-90,-180
902,-3096,-3600,-90,-180
903,-3096,-3600,-90,-180
904,-3096,-3600,-90,-180
905,-1032,-1200,-30,-60
906,-1032,-1200,-30,-60
